#NAME	A1	A2	A3	A7	A8	A9
ASV_176	0	0	0	106	54	101
ASV_177	0	0	0	94	27	140
ASV_178	0	0	0	97	90	73
ASV_179	83	81	93	0	0	0
ASV_180	63	105	89	0	0	0
ASV_181	26	21	0	95	50	65
ASV_182	0	0	0	138	54	65
ASV_183	0	0	0	105	40	111
ASV_184	71	82	99	0	0	0
ASV_185	95	64	90	0	0	0
ASV_186	90	63	96	0	0	0
ASV_187	98	69	81	0	0	0
ASV_188	76	94	78	0	0	0
ASV_189	93	83	71	0	0	0
ASV_190	0	0	0	117	67	63
ASV_191	0	0	0	116	75	55
ASV_192	104	82	58	0	0	0
ASV_193	78	66	100	0	0	0
ASV_194	0	0	16	101	67	60
ASV_195	0	0	0	132	47	65
ASV_196	0	0	0	61	65	118
ASV_197	116	51	75	0	0	0
ASV_198	82	96	63	0	0	0
ASV_199	47	47	48	0	0	99
ASV_200	0	0	0	103	51	87
ASV_201	0	0	0	108	62	70
ASV_202	79	94	66	0	0	0
ASV_203	0	0	0	114	45	79
ASV_204	72	75	90	0	0	0
ASV_205	85	51	99	0	0	0
ASV_206	83	70	82	0	0	0
ASV_207	0	0	0	80	65	90
ASV_208	109	69	56	0	0	0
ASV_209	100	0	133	0	0	0
ASV_210	7	0	0	121	46	58
ASV_211	79	74	77	0	0	0
ASV_212	91	44	94	0	0	0
ASV_213	0	0	0	90	66	73
ASV_214	0	0	0	88	66	75
ASV_215	100	50	77	0	0	0
ASV_216	75	56	95	0	0	0
ASV_217	62	56	105	0	0	0
ASV_218	0	0	0	74	51	96
ASV_219	63	74	83	0	0	0
ASV_220	0	0	0	74	77	69
ASV_221	60	71	88	0	0	0
ASV_222	0	0	0	104	44	71
ASV_223	76	67	75	0	0	0
ASV_224	0	0	0	100	51	67
ASV_225	0	0	0	72	69	76
ASV_226	59	62	95	0	0	0
ASV_227	101	29	85	0	0	0
ASV_228	0	0	0	101	41	70
ASV_229	0	0	0	91	46	75
ASV_230	71	59	81	0	0	0
ASV_231	113	0	96	0	0	0
ASV_232	0	0	0	88	40	81
ASV_233	0	0	0	96	40	71
ASV_234	81	56	69	0	0	0
ASV_235	0	0	0	114	35	55
ASV_236	6	9	0	114	0	74
ASV_237	0	0	0	69	54	80
ASV_238	0	0	0	106	31	64
ASV_239	137	0	63	0	0	0
ASV_240	101	0	99	0	0	0
ASV_241	65	32	33	30	18	22
ASV_242	49	85	66	0	0	0
ASV_243	0	0	0	86	39	75
ASV_244	76	0	73	33	17	0
ASV_245	0	0	38	0	69	91
ASV_246	71	53	73	0	0	0
ASV_247	0	0	0	63	94	40
ASV_248	64	71	61	0	0	0
ASV_249	55	69	70	0	0	0
ASV_250	109	82	0	0	0	0
ASV_251	63	36	92	0	0	0
ASV_252	0	0	0	49	51	91
ASV_253	54	31	71	12	0	22
ASV_254	62	66	61	0	0	0
ASV_255	61	49	79	0	0	0
ASV_256	53	30	106	0	0	0
ASV_257	0	0	0	58	55	76
ASV_258	70	49	69	0	0	0
ASV_259	0	0	0	79	34	75
ASV_260	109	31	47	0	0	0
ASV_261	63	65	59	0	0	0
