Kingdom	Phylum	Class	Order	Family	Genus	A1	A2	A3	A7	A8	A9
53	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	56	19	45	254	134	172
54	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	19	14	0	296	138	208
55	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	198	174	232	26	0	27
56	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	192	182	278	0	0	0
57	Bacteria	WPS-2	NA	NA	NA	NA	205	193	248	0	0	0
58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	235	174	206	0	0	27
59	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	35	33	30	278	65	201
60	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	169	191	233	43	0	0
61	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	238	167	224	0	0	0
62	Bacteria	WPS-2	NA	NA	NA	NA	185	187	255	0	0	0
63	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	0	0	0	302	123	197
64	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	NA	133	158	313	4	0	0
65	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	202	158	247	0	0	0
66	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	39	17	49	266	96	134
67	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	181	210	206	0	0	0
68	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	122	90	80	112	79	111
69	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	0	0	0	235	144	201
70	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	180	169	228	0	0	0
71	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	187	162	221	0	0	0
72	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	199	184	180	0	0	0
73	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	133	88	133	113	52	44
74	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	164	191	192	0	0	0
75	Bacteria	RCP2-54	NA	NA	NA	NA	218	174	150	0	0	0
76	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	196	155	156	11	9	15
77	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus	0	0	0	214	137	177
78	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	191	134	192	0	0	0
79	Bacteria	WPS-2	NA	NA	NA	NA	187	154	158	0	0	0
80	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	229	98	160
81	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	126	174	177	0	0	0
82	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	173	120	182	0	0	0
83	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	145	129	184	17	0	0
84	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	0	0	0	270	129	76
85	Bacteria	GAL15	NA	NA	NA	NA	122	113	161	17	9	28
86	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	25	39	0	162	101	109
87	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	166	111	155
88	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	131	119	113	38	26	0
89	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	156	121	142	0	0	0
90	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	0	0	0	248	83	83
91	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	0	0	0	155	134	121
92	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	192	68	149
93	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	0	0	0	177	102	130
94	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina	0	0	0	146	94	167
95	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Chungangia	0	0	0	165	114	127
96	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	171	88	143	0	0	0
97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	108	73	98	57	0	63
98	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	0	0	0	162	113	124
99	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	117	89	98	58	36	0
100	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	73	96	105	124	0	0
101	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	175	91	131
102	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	118	125	150	0	0	0
103	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	0	0	0	173	100	120
104	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	0	0	0	135	114	140
105	Bacteria	Chloroflexi	AD3	NA	NA	NA	156	133	98	0	0	0
106	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	214	78	92
107	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	183	90	110
108	Bacteria	WPS-2	NA	NA	NA	NA	100	113	124	15	0	28
109	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	0	0	0	111	129	139
110	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	42	0	0	149	88	99
111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	131	115	131	0	0	0
112	Bacteria	GAL15	NA	NA	NA	NA	131	108	133	0	0	0
113	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	115	120	136	0	0	0
114	Bacteria	WPS-2	NA	NA	NA	NA	100	141	130	0	0	0
115	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	144	90	117	0	0	17
116	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	131	95	140	0	0	0
117	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	133	106	108	18	0	0
118	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	108	121	133	0	0	0
119	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	197	57	107
120	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	122	127	110	0	0	0
121	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	61	64	101	38	24	71
122	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	0	0	0	179	29	150
123	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	125	103	127	0	0	0
124	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	52	0	48	66	0	189
125	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	NA	0	0	0	51	0	304
126	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	0	0	0	137	55	162
127	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	0	0	0	140	94	110
128	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	124	103	115	0	0	0
129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	134	90	117	0	0	0
130	Bacteria	WPS-2	NA	NA	NA	NA	107	121	112	0	0	0
131	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	113	110	115
132	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis	0	0	0	158	68	104
133	Bacteria	WPS-2	NA	NA	NA	NA	94	129	105	0	0	0
134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	118	100	109	0	0	0
135	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	118	102	106	0	0	0
136	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA	0	0	9	161	51	103
137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	0	0	0	153	75	96
138	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	0	0	0	138	68	118
139	Bacteria	WPS-2	NA	NA	NA	NA	74	84	165	0	0	0
140	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	0	0	0	145	85	89
141	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	135	67	116	0	0	0
142	Bacteria	Chloroflexi	AD3	NA	NA	NA	98	86	133	0	0	0
143	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	0	0	0	144	86	82
144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	127	69	111	0	0	0
145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	127	65	111	0	0	0
146	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	109	98	93	0	0	0
147	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	135	85	80
148	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	0	0	92	101	107
149	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	93	88	114	0	0	0
150	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	154	33	106	0	0	0
151	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	0	0	0	108	79	105
152	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	84	106	101	0	0	0
153	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	109	80	101	0	0	0
154	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA	99	112	78	0	0	0
155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	132	50	106
156	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	58	61	57	41	31	39
157	Bacteria	GAL15	NA	NA	NA	NA	92	101	87	0	0	0
158	Bacteria	WPS-2	NA	NA	NA	NA	63	101	112	0	0	0
159	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	102	76	97	0	0	0
160	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	42	39	66	40	43	45
161	Bacteria	WPS-2	NA	NA	NA	NA	0	0	0	80	94	101
162	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	95	57	122	0	0	0
163	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	0	0	0	135	64	74
164	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	123	57	93
165	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	116	72	83	0	0	0
166	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	91	78	102	0	0	0
167	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	120	68	83
168	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	67	90	113	0	0	0
169	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus	0	0	0	125	72	73
170	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	104	92	72	0	0	0
171	Bacteria	WPS-2	NA	NA	NA	NA	67	101	98	0	0	0
172	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	0	0	0	87	82	97
173	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	0	0	0	110	67	87
174	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	96	61	101	4	0	0
175	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	0	0	0	87	77	98
176	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	0	0	0	106	54	101
177	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	0	0	0	94	27	140
178	Bacteria	Chloroflexi	TK10	NA	NA	NA	0	0	0	97	90	73
179	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	83	81	93	0	0	0
180	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	63	105	89	0	0	0
181	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Rugosimonospora	26	21	0	95	50	65
182	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	0	0	0	138	54	65
183	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	0	0	0	105	40	111
184	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	71	82	99	0	0	0
185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	95	64	90	0	0	0
186	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	90	63	96	0	0	0
