Kingdom	Phylum	Class	Order	Family	Genus	A1	A2	A3	A7	A8	A9
507	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	29	32	32	0	0	0
508	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	0	0	0	60	0	33
509	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	0	0	0	51	0	42
510	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	0	0	0	49	0	44
511	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	0	0	0	44	27	22
512	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	42	26	24	0	0	0
513	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Candidatus Nitrosotalea	0	0	0	92	0	0
514	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	0	0	0	49	22	21
515	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	0	0	0	43	49	0
516	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Caryophanon	0	0	0	42	20	30
517	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	34	21	36	0	0	0
518	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	20	20	17	0	0	34
519	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA	0	0	0	38	26	27
520	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	51	39	0	0	0	0
521	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus	24	0	27	20	0	19
522	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	0	0	0	87	3	0
523	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	0	0	0	51	0	39
524	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	50	11	29
525	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	0	0	0	40	24	26
526	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	14	27	36	0	12
527	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	0	0	0	89	0	0
528	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	0	0	0	54	0	35
529	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA	0	0	0	37	22	30
530	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	0	0	0	35	21	33
531	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	32	21	35	0	0	0
532	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	30	22	36	0	0	0
533	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	22	33	33	0	0	0
534	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	0	0	0	40	0	48
535	Bacteria	Chloroflexi	TK10	NA	NA	NA	0	0	0	36	31	21
536	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	31	29	27	0	0	0
537	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA	26	21	40	0	0	0
538	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	0	0	0	58	0	29
539	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	0	0	0	26	29	32
540	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	86	0	0	0	0	0
541	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	26	35	25	0	0	0
542	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	0	39	47	0	0	0
543	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	0	0	0	49	0	37
544	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	47	0	38	0	0	0
545	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	27	22	36	0	0	0
546	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	25	24	36	0	0	0
547	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	25	31	29	0	0	0
548	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	0	0	0	47	0	38
549	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	28	26	30	0	0	0
550	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	0	43	41	0	0	0
551	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	0	0	84	0	0	0
552	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	0	0	84	0	0	0
553	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA	0	0	0	48	36	0
554	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	20	31	32	0	0	0
555	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	43	40	0	0	0
556	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	0	0	0	83	0	0
557	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	0	0	0	54	0	29
558	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Oxalophagus	0	0	0	44	0	39
559	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	0	0	0	25	29	29
560	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	0	31	51	0	0	0
561	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	0	0	0	82	0	0
562	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Ammoniphilus	0	0	0	0	51	31
563	Bacteria	WPS-2	NA	NA	NA	NA	53	0	28	0	0	0
564	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	39	42	0	0	0	0
565	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	35	27	19	0	0	0
566	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	34	0	47	0	0	0
567	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	33	21	27	0	0	0
568	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	51	0	30
569	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	0	0	0	48	0	33
570	Bacteria	WPS-2	NA	NA	NA	NA	37	17	26	0	0	0
571	Bacteria	WPS-2	NA	NA	NA	NA	30	26	24	0	0	0
572	Bacteria	GAL15	NA	NA	NA	NA	0	31	49	0	0	0
573	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	0	24	56	0	0	0
574	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	0	0	80	0	0	0
575	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	0	0	0	22	21	37
576	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	34	26	19	0	0	0
577	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	23	30	26	0	0	0
578	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	12	0	22	25	0	20
579	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	0	79	0	0	0
580	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	0	0	0	79	0	0
581	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	0	0	0	61	0	18
582	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA	0	0	0	44	0	35
583	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	NA	0	0	0	42	0	37
584	Bacteria	Firmicutes	Limnochordia	Hydrogenispora	NA	NA	0	0	0	31	0	48
585	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	0	0	0	25	23	31
586	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	0	0	0	0	33	46
587	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	0	0	0	0	0	79
588	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	33	20	0	0	0	25
589	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	78	0	0	0	0
590	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	0	0	0	78	0	0
591	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	0	0	0	61	17	0
592	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	43	0	35
593	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA	0	0	0	33	20	25
594	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paraclostridium	11	8	0	28	18	12
595	Bacteria	WPS-2	NA	NA	NA	NA	0	0	77	0	0	0
596	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	0	0	0	45	0	32
597	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	44	0	33
598	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rudaea	0	0	0	29	26	22
599	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	33	17	26	0	0	0
600	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	28	20	28	0	0	0
601	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	0	76	0	0	0	0
602	Bacteria	Firmicutes	Limnochordia	Hydrogenispora	NA	NA	0	0	6	43	0	27
603	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	0	0	0	76	0	0
604	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	51	0	25
605	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 12	0	0	0	50	0	26
606	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	27	21	28
607	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	0	0	0	27	18	31
608	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	32	18	25	0	0	0
609	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	28	23	24	0	0	0
610	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	24	24	27	0	0	0
611	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	0	0	0	39	0	36
612	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	0	0	38	0	37
613	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0	0	0	15	40	20
614	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	0	0	0	0	75	0
615	Bacteria	RCP2-54	NA	NA	NA	NA	74	0	0	0	0	0
616	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	27	20	27	0	0	0
617	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	16	30	28	0	0	0
618	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	0	37	37	0	0	0
619	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	35	39	0	0	0
620	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	0	0	0	36	0	38
621	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	0	0	0	22	24	28
622	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	73	0	0	0	0	0
623	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	43	0	30	0	0	0
624	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	40	0	33
625	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	0	0	0	39	0	34
626	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	35	37	0	0	0
627	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	0	0	0	72	0	0
628	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	0	0	0	47	0	25
629	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	0	0	20	23	29
630	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	71	0	0	0	0	0
631	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	43	0	28	0	0	0
632	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	30	17	24	0	0	0
633	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	12	30	29	0	0	0
634	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	0	0	71	0	0
635	Bacteria	Armatimonadota	NA	NA	NA	NA	0	0	0	35	12	24
636	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	0	0	32	16	23
637	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	0	0	0	30	41	0
638	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	25	17	28	0	0	0
639	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	24	0	46	0	0	0
640	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0	0	0	70	0	0
641	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	0	0	70	0	0
642	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	49	0	21
643	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	0	0	0	38	13	19
644	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	36	34	0
645	Bacteria	Acidobacteriota	Acidobacteriae	AKIW659	NA	NA	0	0	0	35	17	18
646	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	0	0	0	34	21	15
647	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	0	0	34	13	23
648	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA	0	0	0	34	36	0
649	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	0	0	0	27	24	19
650	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	19	23	28
651	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	40	29	0	0	0	0
652	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	39	30	0	0	0	0
653	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	25	0	44	0	0	0
654	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	0	0	0	69	0	0
655	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	0	0	0	69	0	0
656	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus	0	0	0	69	0	0
657	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	0	0	0	69	0	0
658	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio	0	0	0	53	0	16
659	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	0	0	0	43	26	0
660	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	0	0	0	39	0	30
661	Bacteria	Chloroflexi	Anaerolineae	SJA-15	NA	NA	0	0	0	35	20	14
662	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	0	0	0	33	0	36
663	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	0	0	0	0	43	26
664	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	0	0	0	0	23	46
665	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	68	0	0	0	0	0
666	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	34	0	26	0	8	0
667	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	26	19	23	0	0	0
668	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	33	35	0	0	0
669	Bacteria	WPS-2	NA	NA	NA	NA	0	29	39	0	0	0
670	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	0	13	0	37	0	18
671	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	0	0	0	68	0	0
672	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	0	0	0	38	0	30
673	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella	0	0	0	24	26	18
674	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	0	0	0	0	42	26
675	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	0	0	0	0	0	68
676	Bacteria	Chloroflexi	AD3	NA	NA	NA	45	0	22	0	0	0
677	Bacteria	WPS-2	NA	NA	NA	NA	36	0	31	0	0	0
678	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	0	67	0	0	0
679	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	49	0	18
680	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	44	0	23
681	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	0	0	0	28	39	0
682	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	0	0	0	24	12	31
683	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	66	0	0	0	0	0
684	Bacteria	Chloroflexi	TK10	NA	NA	NA	66	0	0	0	0	0
685	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	35	0	31	0	0	0
686	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	35	31	0	0	0	0
687	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	9	0	0	37	0	20
688	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	66	0	0
689	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Ammoniphilus	0	0	0	66	0	0
690	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0	0	0	66	0	0
691	Bacteria	Firmicutes	Limnochordia	Hydrogenispora	NA	NA	0	0	0	43	23	0
692	Bacteria	Acidobacteriota	Subgroup 25	NA	NA	NA	0	0	0	34	12	20
693	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA	0	0	0	25	15	26
694	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	0	0	0	22	0	44
695	Bacteria	WPS-2	NA	NA	NA	NA	24	19	22	0	0	0
696	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	15	0	0	24	0	26
697	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	NA	34	15	15	0	0	0
698	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	29	21	14	0	0	0
699	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	26	17	21	0	0	0
700	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	0	32	32	0	0	0
701	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	25	39	0	0	0
702	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	0	0	64	0	0	0
703	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	0	0	0	43	21	0
704	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA	0	0	0	36	0	28
705	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	0	0	0	32	0	32
706	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	0	0	0	29	18	17
707	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	0	0	0	28	16	20
708	Bacteria	Armatimonadota	NA	NA	NA	NA	0	0	0	22	0	42
709	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Intrasporangium	0	0	0	0	39	25
710	Bacteria	Armatimonadota	NA	NA	NA	NA	0	0	0	0	0	64
711	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	41	0	22	0	0	0
712	Bacteria	Chloroflexi	TK10	NA	NA	NA	30	0	33	0	0	0
713	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	63	0	0
714	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	0	0	0	40	23	0
715	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	0	0	0	29	0	34
716	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0	0	0	0	25	38
717	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	37	25	0	0	0	0
718	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	25	0	37	0	0	0
719	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	21	19	22	0	0	0
720	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	44	0	18
721	Bacteria	RCP2-54	NA	NA	NA	NA	0	0	0	33	16	13
722	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NA	0	0	0	22	22	18
723	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	0	0	0	18	18	26
724	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA	34	0	27	0	0	0
725	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	20	17	24	0	0	0
726	Bacteria	WPS-2	NA	NA	NA	NA	0	0	61	0	0	0
727	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	0	0	0	61	0	0
728	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	NA	0	0	0	41	20	0
729	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	0	0	0	0	31	30
730	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0	0	0	60	0	0
731	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	0	0	0	0	0	60
732	Bacteria	Chloroflexi	AD3	NA	NA	NA	35	0	0	24	0	0
733	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	24	35	0	0	0	0
734	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA	21	14	24	0	0	0
735	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	15	18	26	0	0	0
736	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	0	59	0	0	0	0
737	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	0	0	0	59	0	0
738	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA	0	0	0	42	0	17
739	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	0	0	0	39	20	0
740	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	0	0	0	34	12	13
741	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	0	0	0	0	17	42
742	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	0	0	0	0	0	59
743	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	58	0	0	0	0	0
744	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	58	0	0	0	0	0
745	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	27	0	31	0	0	0
746	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	0	33	25	0	0	0
747	Bacteria	WPS-2	NA	NA	NA	NA	0	0	58	0	0	0
748	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	0	0	58	0	0	0
