Kingdom	Phylum	Class	Order	Family	Genus
ASV_62	Bacteria	WPS-2	NA	NA	NA	NA
ASV_63	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_64	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	NA
ASV_65	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_66	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_67	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_68	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter
ASV_69	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV_70	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_71	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_72	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter
ASV_73	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_74	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_75	Bacteria	RCP2-54	NA	NA	NA	NA
ASV_76	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
ASV_77	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus
ASV_78	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_79	Bacteria	WPS-2	NA	NA	NA	NA
ASV_80	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_81	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
ASV_82	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_83	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_84	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_85	Bacteria	GAL15	NA	NA	NA	NA
ASV_86	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_87	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_88	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV_89	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_90	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
ASV_91	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA
ASV_92	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_93	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_94	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina
ASV_95	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Chungangia
ASV_96	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
ASV_97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_98	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus
ASV_99	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_100	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_101	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_102	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_103	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
ASV_104	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA
ASV_105	Bacteria	Chloroflexi	AD3	NA	NA	NA
ASV_106	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_107	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_108	Bacteria	WPS-2	NA	NA	NA	NA
ASV_109	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_110	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
ASV_111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_112	Bacteria	GAL15	NA	NA	NA	NA
ASV_113	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_114	Bacteria	WPS-2	NA	NA	NA	NA
ASV_115	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_116	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
ASV_117	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_118	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_119	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_120	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_121	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
ASV_123	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_124	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1
ASV_125	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	NA
